symbol,index,count,probability
a,0,407,0.065109582467
b,1,68,0.010878259478
c,2,206,0.032954727244
d,3,166,0.026555751080
e,4,655,0.104783234682
f,5,114,0.018237082067
g,6,94,0.015037593985
h,7,190,0.030395136778
i,8,399,0.063829787234
j,9,14,0.002239641657
k,10,17,0.002719564870
l,11,218,0.034874420093
m,12,121,0.019356902896
n,13,427,0.068309070549
o,14,371,0.059350503919
p,15,141,0.022556390977
q,16,11,0.001759718445
r,17,406,0.064949608063
s,18,349,0.055831067029
t,19,442,0.070708686610
u,20,116,0.018557030875
v,21,54,0.008638617821
w,22,39,0.006239001760
x,23,9,0.001439769637
y,24,94,0.015037593985
z,25,7,0.001119820829
A,26,1,0.000159974404
B,27,1,0.000159974404
C,28,2,0.000319948808
D,29,0,0.000000000000
E,30,23,0.003679411294
F,31,1,0.000159974404
G,32,0,0.000000000000
H,33,0,0.000000000000
I,34,2,0.000319948808
J,35,0,0.000000000000
K,36,1,0.000159974404
L,37,0,0.000000000000
M,38,0,0.000000000000
N,39,0,0.000000000000
O,40,0,0.000000000000
P,41,0,0.000000000000
Q,42,0,0.000000000000
R,43,0,0.000000000000
S,44,4,0.000639897616
T,45,6,0.000959846425
U,46,0,0.000000000000
V,47,0,0.000000000000
W,48,4,0.000639897616
X,49,0,0.000000000000
Y,50,0,0.000000000000
Z,51,0,0.000000000000
1,52,0,0.000000000000
2,53,0,0.000000000000
3,54,0,0.000000000000
4,55,0,0.000000000000
5,56,0,0.000000000000
6,57,0,0.000000000000
7,58,0,0.000000000000
8,59,0,0.000000000000
9,60,0,0.000000000000
 ,61,959,0.153415453527
,,62,57,0.009118541033
.,63,55,0.008798592225
